name,zip_code,price,cuisine,num_review,rating,housing_price
etta - Bucktown,60622,20.5,Italian,20,4.4,907.9714573031821
Boxcar Betty's,60622,0.0,Sandwiches,11,4.909090909090909,907.9714573031821
The Perch,60622,0.0,American (New),20,4.4,907.9714573031821
Amaru,60622,0.0,Latin American,20,4.7,907.9714573031821
Kennedy Rooftop,60622,0.0,American (New),20,4.25,907.9714573031821
Lao Peng You,60622,20.5,Chinese,20,4.35,907.9714573031821
The Delta,60622,20.5,Southern,20,4.0,907.9714573031821
Lost Larson,60622,0.0,Sandwiches,13,3.7692307692307687,907.9714573031821
Forbidden Root,60622,20.5,Tapas/Small Plates,20,4.25,907.9714573031821
Kasama,60622,0.0,Filipino,20,4.8,907.9714573031821
Folklore Argentine Grill,60622,20.5,Argentine,20,3.9,907.9714573031821
Machine: Engineered Dining & Drink,60622,20.5,American (New),20,4.35,907.9714573031821
Sea & Olive,60622,0.0,Mediterranean,20,4.05,907.9714573031821
Cheba Hut Toasted Subs - Wicker Park,60622,0.0,Sandwiches,20,4.7,907.9714573031821
Takorea Cocina,60622,10.0,Korean,20,4.65,907.9714573031821
En Hakkore 2.0,60622,20.5,Asian Fusion,20,4.95,907.9714573031821
Pub Royale,60622,20.5,British,20,3.75,907.9714573031821
Boeufhaus,60622,45.5,Brasseries,20,4.1,907.9714573031821
Cinnaholic,60622,0.0,Vegan,11,4.2727272727272725,907.9714573031821
Savannah Luncheonette,60622,0.0,Comfort Food,3,4.0,907.9714573031821
Split-Rail,60622,20.5,American (Traditional),20,4.25,907.9714573031821
Lucy's,60622,20.5,American (Traditional),20,3.75,907.9714573031821
All Together Now,60622,20.5,American (New),20,4.5,907.9714573031821
Cafe Istanbul,60622,20.5,Turkish,20,4.45,907.9714573031821
JJ Thai Street Food,60622,20.5,Thai,20,4.15,907.9714573031821
Oiistar,60622,20.5,Asian Fusion,20,4.4,907.9714573031821
Tortello,60622,20.5,Italian,20,4.65,907.9714573031821
The Clampdown,60622,0.0,American (Traditional),5,4.4,907.9714573031821
Beatnik West Town,60622,20.5,Breakfast &amp; Brunch,20,3.65,907.9714573031821
Paulie Gee's Wicker Park,60622,0.0,Pizza,2,5.0,907.9714573031821
Wynwood Kitchen & Spirits,60622,0.0,American (New),20,3.4,907.9714573031821
Feed,60622,10.0,Southern,20,3.65,907.9714573031821
Jeff & Judes,60622,0.0,Breakfast &amp; Brunch,20,3.15,907.9714573031821
Osteria Rusticana,60622,20.5,Italian,20,4.95,907.9714573031821
Urbanbelly,60622,20.5,Asian Fusion,20,4.25,907.9714573031821
Bonchon Division St,60622,20.5,Korean,20,3.45,907.9714573031821
Silli Kori,60622,20.5,Thai,20,4.4,907.9714573031821
Takito Kitchen,60622,20.5,Mexican,20,4.4,907.9714573031821
The Bongo Room,60622,20.5,American (New),20,4.1,907.9714573031821
Paradise Park,60622,20.5,Pizza,20,4.05,907.9714573031821
Smoke Daddy,60622,20.5,Barbeque,20,3.7,907.9714573031821
Soulé,60622,20.5,Cajun/Creole,20,3.45,907.9714573031821
Lawn Restaurant - Hamburger,60622,0.0,Cheesesteaks,20,4.8,907.9714573031821
Mama Delia,60622,0.0,Spanish,20,3.9,907.9714573031821
Parlor Pizza Bar - Wicker Park,60622,20.5,Pizza,20,3.7,907.9714573031821
Antique Taco,60622,20.5,Mexican,20,4.2,907.9714573031821
Tamale Guy Chicago,60622,10.0,Mexican,20,4.35,907.9714573031821
Cracked on Milwaukee,60622,20.5,Breakfast &amp; Brunch,20,4.35,907.9714573031821
Kimchi Pop,60622,20.5,Korean,20,4.4,907.9714573031821
Kai Zan,60622,45.5,Asian Fusion,20,4.6,907.9714573031821
Rumi Middle Eastern Grill,60622,10.0,Mediterranean,20,4.45,907.9714573031821
Enoteca Roma Ristorante,60622,20.5,Italian,20,4.55,907.9714573031821
Bourbon On Division,60622,20.5,Southern,20,3.35,907.9714573031821
Sushi Taku,60622,20.5,Japanese,20,4.05,907.9714573031821
Flour Power,60622,0.0,Italian,14,4.642857142857143,907.9714573031821
The Boil Cajun Seafood,60622,0.0,Cajun/Creole,20,3.75,907.9714573031821
Mable's Table,60622,20.5,American (New),20,4.15,907.9714573031821
Taxim,60622,45.5,Greek,20,3.9,907.9714573031821
Shawarma Garden,60622,10.0,Middle Eastern,20,4.25,907.9714573031821
Piece Brewery and Pizzeria,60622,20.5,Pizza,20,3.95,907.9714573031821
Cumin,60622,20.5,Indian,20,4.2,907.9714573031821
Porto,60622,0.0,Portuguese,20,3.55,907.9714573031821
Fatso's Last Stand,60622,20.5,Hot Dogs,20,4.25,907.9714573031821
Sabroso! Mexican Grill,60622,20.5,Mexican,20,4.85,907.9714573031821
Pizza Friendly Pizza,60622,0.0,Pizza,20,4.65,907.9714573031821
Spinning J Bakery and Soda Fountain,60622,20.5,Breakfast &amp; Brunch,20,4.6,907.9714573031821
Sushi + Rotary Sushi Bar Bucktown,60622,0.0,Conveyor Belt Sushi,5,5.0,907.9714573031821
Ina Mae Tavern & Packaged Goods,60622,20.5,Southern,20,3.4,907.9714573031821
Cela's Boricua Style Hot Dog,60622,0.0,Hot Dogs,1,5.0,907.9714573031821
KINTON RAMEN,60622,20.5,Ramen,20,4.25,907.9714573031821
La Sandwichera,60622,0.0,Sandwiches,1,5.0,907.9714573031821
Tejanos,60622,0.0,Tex-Mex,13,4.307692307692308,907.9714573031821
Papa's Cache Sabroso,60622,20.5,Latin American,20,4.7,907.9714573031821
Hash,60622,20.5,Breakfast &amp; Brunch,20,4.6,907.9714573031821
MAK Restaurant,60622,20.5,Asian Fusion,20,3.85,907.9714573031821
Chicago Fajitas,60622,0.0,Mexican,1,5.0,907.9714573031821
Craft Pizza,60622,20.5,Pizza,20,4.5,907.9714573031821
Penumbra,60647,20.5,Seafood,20,4.75,823.6626264280893
Giant,60647,45.5,American (New),20,4.2,823.6626264280893
KFire,60647,0.0,Korean,20,4.8,823.6626264280893
Daisies,60647,20.5,American (New),20,4.55,823.6626264280893
Landbirds,60647,20.5,Chicken Wings,20,4.2,823.6626264280893
Longman & Eagle,60647,20.5,Gastropubs,20,4.2,823.6626264280893
Antico,60647,45.5,Italian,20,4.45,823.6626264280893
The Parlor &quot;Grand Speakeasy&quot;,60647,0.0,American (New),20,4.3,823.6626264280893
Offset BBQ,60647,0.0,Barbeque,20,4.7,823.6626264280893
Taqueria Chingon,60647,0.0,Mexican,20,4.65,823.6626264280893
90 Miles Cuban Café,60647,20.5,Cuban,20,4.45,823.6626264280893
Small Cheval,60647,20.5,Burgers,20,4.6,823.6626264280893
The Bristol,60647,20.5,American (New),20,4.15,823.6626264280893
Handlebar,60647,20.5,Vegetarian,20,4.5,823.6626264280893
Bárbaro Taquería,60647,20.5,Mexican,20,4.6,823.6626264280893
Scofflaw,60647,20.5,American (New),20,3.85,823.6626264280893
Wonder Chop,60647,0.0,Chinese,20,4.85,823.6626264280893
Mindy's Hot Chocolate,60647,20.5,American (Traditional),20,4.5,823.6626264280893
Owen & Engine,60647,20.5,Gastropubs,20,4.5,823.6626264280893
Three Wheels Noodle,60647,20.5,Thai,20,4.4,823.6626264280893
Testaccio,60647,0.0,Italian,20,4.9,823.6626264280893
Andros Taverna,60647,0.0,Greek,14,4.428571428571429,823.6626264280893
Ramen Wasabi,60647,20.5,Ramen,20,4.5,823.6626264280893
Olivia's Market,60647,45.5,Delis,20,4.45,823.6626264280893
Lula Cafe,60647,20.5,American (New),20,4.45,823.6626264280893
Serai,60647,20.5,Malaysian,20,4.35,823.6626264280893
The Whale Chicago,60647,20.5,American (New),20,4.15,823.6626264280893
Bungalow by Middle Brow,60647,20.5,Pizza,20,3.65,823.6626264280893
Flat & Point,60647,0.0,American (New),20,4.55,823.6626264280893
Ipsento 606,60647,20.5,Sandwiches,20,3.85,823.6626264280893
Chef’s Special Cocktail Bar,60647,0.0,Chinese,20,4.15,823.6626264280893
Bixi Beer,60647,20.5,Asian Fusion,20,4.55,823.6626264280893
"Table, Donkey and Stick",60647,20.5,Modern European,20,4.3,823.6626264280893
En Hakkore,60647,20.5,Korean,20,4.6,823.6626264280893
Irazú Costa Rican Restaurant & Catering,60647,20.5,Latin American,20,4.65,823.6626264280893
Humboldt Haus Sandwich Bar,60647,10.0,Sandwiches,20,4.25,823.6626264280893
Nomonomo Japanese Pub & Grill,60647,0.0,Japanese,10,3.9,823.6626264280893
Wyler Road,60647,20.5,Sandwiches,20,4.15,823.6626264280893
The StopAlong,60647,20.5,Pizza,20,4.2,823.6626264280893
Milly’s Pizza In The Pan,60647,0.0,Pizza,20,4.9,823.6626264280893
1492 Cuban Fusion,60647,20.5,Cuban,20,4.65,823.6626264280893
Dos Urban Cantina,60647,20.5,Mexican,20,4.45,823.6626264280893
Cebu,60647,20.5,Filipino,20,4.25,823.6626264280893
Mi Tocaya Antojeria,60647,20.5,Mexican,20,3.7,823.6626264280893
Tricycle Chicago,60647,20.5,American (New),20,3.65,823.6626264280893
The Moonlighter,60647,20.5,Burgers,20,3.9,823.6626264280893
Namaste Chicago,60647,20.5,Indian,20,4.55,823.6626264280893
Knead Great Pizza,60647,20.5,Pizza,20,4.65,823.6626264280893
Mini Mott,60647,20.5,Burgers,20,3.95,823.6626264280893
Caribella,60647,20.5,Breakfast &amp; Brunch,20,4.7,823.6626264280893
Paulie Gee's Logan Square,60647,20.5,Pizza,20,4.15,823.6626264280893
El Habanero,60647,20.5,Mexican,20,4.3,823.6626264280893
The Crab Pad,60647,20.5,Seafood,20,3.7,823.6626264280893
Osteria Langhe,60647,45.5,Italian,20,4.95,823.6626264280893
Bulerias Tapas Bar,60647,0.0,Tapas Bars,20,4.2,823.6626264280893
Quesabirria Jalisco Restaurant,60706,0.0,Mexican,20,4.75,529.1048120720031
Au Cheval,60607,20.5,American (Traditional),20,4.15,1045.4380014381861
SoJu BBQ,60607,20.5,Korean,20,4.45,1045.4380014381861
Reve Burger,60607,0.0,Burgers,16,3.3125,1045.4380014381861
Mom's,60607,0.0,Japanese,8,4.75,1045.4380014381861
The Publican,60607,45.5,American (New),20,3.85,1045.4380014381861
The Loyalist,60607,20.5,American (New),20,4.15,1045.4380014381861
Duck Duck Goat,60607,45.5,Chinese,20,4.55,1045.4380014381861
Aba,60607,45.5,Mediterranean,20,4.75,1045.4380014381861
Bar Siena,60607,20.5,Italian,20,4.15,1045.4380014381861
The Office,60607,61.0,American (Traditional),20,4.4,1045.4380014381861
Boqueria - Fulton Market,60607,45.5,Spanish,20,4.65,1045.4380014381861
Green Street Smoked Meats,60607,20.5,Barbeque,20,4.45,1045.4380014381861
Gaijin,60607,20.5,Japanese,20,4.45,1045.4380014381861
Monteverde,60607,45.5,Italian,20,4.7,1045.4380014381861
Bill Kim Asian Comfort Food,60607,0.0,Korean,6,4.333333333333333,1045.4380014381861
Chick-fil-A - Bucktown,60614,0.0,Fast Food,11,4.2727272727272725,1007.0407958721607
Butcher & The Burger,60614,20.5,Burgers,20,4.45,1007.0407958721607
Del Seoul,60614,10.0,Korean,20,4.5,1007.0407958721607
Chicago Pizza And Oven Grinder Company,60614,20.5,Pizza,20,4.6,1007.0407958721607
Kapitan,60614,0.0,Asian Fusion,20,4.3,1007.0407958721607
Galit,60614,20.5,Mediterranean,20,4.8,1007.0407958721607
Summer House Santa Monica,60614,20.5,American (Traditional),20,4.6,1007.0407958721607
Cafe Ba-Ba-Reeba!,60614,20.5,Spanish,20,4.9,1007.0407958721607
Xi'an Dynasty Cuisine,60614,20.5,Chinese,20,4.6,1007.0407958721607
Sapori Trattoria,60614,20.5,Italian,20,4.55,1007.0407958721607
Boka,60614,45.5,American (New),20,4.6,1007.0407958721607
Aloha Eats,60614,20.5,Hawaiian,20,4.45,1007.0407958721607
Crab Cellar,60614,61.0,Seafood,20,4.7,1007.0407958721607
Mr Dumpling,60614,0.0,Chinese,20,4.0,1007.0407958721607
Fry The Coop,60642,20.5,American (Traditional),20,4.45,1100.8205656642476
SPICY FINGERS  Seafood Kitchen,60642,0.0,Seafood,20,4.35,1100.8205656642476
jeong,60642,0.0,Korean,20,4.6,1100.8205656642476
Crazy Bird,60642,10.0,Chicken Wings,20,4.3,1100.8205656642476
Goose Island Shrimp House Chicago,60642,10.0,Seafood,20,3.9,1100.8205656642476
Pizzeria Bebu,60642,20.5,Pizza,20,4.55,1100.8205656642476
Vajra,60642,45.5,Himalayan/Nepalese,20,4.8,1100.8205656642476
Daebak Lincoln Park,60642,0.0,Korean,6,4.666666666666667,1100.8205656642476
Flo,60642,20.5,Breakfast &amp; Brunch,20,4.55,1100.8205656642476
The Dandy Crown,60642,0.0,American (New),16,4.375,1100.8205656642476
Perilla Korean American Fare,60654,0.0,Korean,20,4.45,1176.1860352195345
Three Dots and a Dash,60654,20.5,Asian Fusion,20,4.15,1176.1860352195345
Portillo's Hot Dogs,60654,10.0,Hot Dogs,20,3.95,1176.1860352195345
RAMEN-SAN,60654,20.5,Ramen,20,3.6,1176.1860352195345
The Dawson,60654,20.5,American (Traditional),20,3.8,1176.1860352195345
Lil' Ba-Ba-Reeba,60654,0.0,Seafood,6,4.5,1176.1860352195345
Arbella,60654,20.5,Tapas/Small Plates,20,4.75,1176.1860352195345
Minahasa,60603,0.0,Indonesian,6,4.833333333333333,1311.5895460415904
Crisp,60657,20.5,Korean,20,4.5,900.1663655564432
Wake ‘n Bacon,60657,0.0,Breakfast &amp; Brunch,20,4.4,900.1663655564432
Tatas Tacos,60657,0.0,Tacos,3,5.0,900.1663655564432
Chengdu Aroma,60657,20.5,Szechuan,20,4.9,900.1663655564432
Kraken Sushi & Beyond,60618,0.0,Japanese,10,4.8,662.8823957034
Same Same,60618,20.5,Thai,20,4.4,662.8823957034
Honey Butter Fried Chicken,60618,20.5,Chicken Shop,20,3.85,662.8823957034
XOchimilco Mexican Restaurant,60618,20.5,Mexican,20,4.95,662.8823957034
Big League Burgers,60618,0.0,Burgers,17,4.411764705882354,662.8823957034
Menya Goku By Ramen Wasabi,60618,20.5,Ramen,20,4.55,662.8823957034
La Malinche Coffee House,60608,0.0,Sandwiches,3,4.0,651.3594079989433
Doc B's Restaurant + Bar,60611,20.5,American (New),20,4.45,1282.6057161809783
QBirria Factory,60661,0.0,Mexican,20,4.15,1259.30324370023
Avec - Chicago,60661,45.5,Mediterranean,20,4.3,1259.30324370023
Haidilao Hot Pot,60616,0.0,Chinese,5,5.0,998.164818375335
Sfera Sicilian Street Food,60617,0.0,Sicilian,7,5.0,437.0625528572675
Mogadishu Restaurant,60610,10.0,African,20,4.55,1176.4588865012627
Velvet Taco Gold Coast,60610,20.5,American (New),20,4.45,1176.4588865012627
ArePA George,60651,20.5,Colombian,20,4.1,475.92579309765733
