name,zip_code,price,cuisine,num_review,rating
etta - Bucktown,60622,20.5,Italian,20,4.4
Boxcar Betty's,60622,0,Sandwiches,11,4.909090909090909
The Perch,60622,0,American (New),20,4.4
Penumbra,60647,20.5,Seafood,20,4.75
Quesabirria Jalisco Restaurant,60706,0,Mexican,20,4.75
Amaru,60622,0,Latin American,20,4.7
Kennedy Rooftop,60622,0,American (New),20,4.25
Giant,60647,45.5,American (New),20,4.2
Lao Peng You,60622,20.5,Chinese,20,4.35
Au Cheval,60607,20.5,American (Traditional),20,4.15
The Delta,60622,20.5,Southern,20,4.0
Lost Larson,60622,0,Sandwiches,13,3.769230769230769
Forbidden Root,60622,20.5,Tapas/Small Plates,20,4.25
Kasama,60622,0,Filipino,20,4.8
Folklore Argentine Grill,60622,20.5,Argentine,20,3.9
Machine: Engineered Dining & Drink,60622,20.5,American (New),20,4.35
Sea & Olive,60622,0,Mediterranean,20,4.05
KFire,60647,0,Korean,20,4.8
Chick-fil-A - Bucktown,60614,0,Fast Food,11,4.2727272727272725
Cheba Hut Toasted Subs - Wicker Park,60622,0,Sandwiches,20,4.7
Daisies,60647,20.5,American (New),20,4.55
Takorea Cocina,60622,10,Korean,20,4.65
En Hakkore 2.0,60622,20.5,Asian Fusion,20,4.95
Landbirds,60647,20.5,Chicken Wings,20,4.2
Pub Royale,60622,20.5,British,20,3.75
Longman & Eagle,60647,20.5,Gastropubs,20,4.2
Boeufhaus,60622,45.5,Brasseries,20,4.1
Cinnaholic,60622,0,Vegan,11,4.2727272727272725
Savannah Luncheonette,60622,0,Comfort Food,3,4.0
Split-Rail,60622,20.5,American (Traditional),20,4.25
Lucy's,60622,20.5,American (Traditional),20,3.75
All Together Now,60622,20.5,American (New),20,4.5
Cafe Istanbul,60622,20.5,Turkish,20,4.45
Antico,60647,45.5,Italian,20,4.45
SoJu BBQ,60607,20.5,Korean,20,4.45
The Parlor &quot;Grand Speakeasy&quot;,60647,0,American (New),20,4.3
JJ Thai Street Food,60622,20.5,Thai,20,4.15
Offset BBQ,60647,0,Barbeque,20,4.7
Oiistar,60622,20.5,Asian Fusion,20,4.4
Tortello,60622,20.5,Italian,20,4.65
The Clampdown,60622,0,American (Traditional),5,4.4
Fry The Coop,60642,20.5,American (Traditional),20,4.45
Taqueria Chingon,60647,0,Mexican,20,4.65
90 Miles Cuban Café,60647,20.5,Cuban,20,4.45
Small Cheval,60647,20.5,Burgers,20,4.6
The Bristol,60647,20.5,American (New),20,4.15
Beatnik West Town,60622,20.5,Breakfast &amp; Brunch,20,3.65
Perilla Korean American Fare,60654,0,Korean,20,4.45
Paulie Gee's Wicker Park,60622,0,Pizza,2,5.0
Handlebar,60647,20.5,Vegetarian,20,4.5
Bárbaro Taquería,60647,20.5,Mexican,20,4.6
Scofflaw,60647,20.5,American (New),20,3.85
Wonder Chop,60647,0,Chinese,20,4.85
Wynwood Kitchen & Spirits,60622,0,American (New),20,3.4
Mindy's Hot Chocolate,60647,20.5,American (Traditional),20,4.5
Butcher & The Burger,60614,20.5,Burgers,20,4.45
Owen & Engine,60647,20.5,Gastropubs,20,4.5
Three Wheels Noodle,60647,20.5,Thai,20,4.4
Feed,60622,10,Southern,20,3.65
Jeff & Judes,60622,0,Breakfast &amp; Brunch,20,3.15
Osteria Rusticana,60622,20.5,Italian,20,4.95
Urbanbelly,60622,20.5,Asian Fusion,20,4.25
Testaccio,60647,0,Italian,20,4.9
Minahasa,60603,0,Indonesian,6,4.833333333333333
Bonchon Division St,60622,20.5,Korean,20,3.45
Reve Burger,60607,0,Burgers,16,3.3125
Silli Kori,60622,20.5,Thai,20,4.4
SPICY FINGERS  Seafood Kitchen,60642,0,Seafood,20,4.35
jeong,60642,0,Korean,20,4.6
Andros Taverna,60647,0,Greek,14,4.428571428571429
Crisp,60657,20.5,Korean,20,4.5
Three Dots and a Dash,60654,20.5,Asian Fusion,20,4.15
Takito Kitchen,60622,20.5,Mexican,20,4.4
The Bongo Room,60622,20.5,American (New),20,4.1
Paradise Park,60622,20.5,Pizza,20,4.05
Ramen Wasabi,60647,20.5,Ramen,20,4.5
Olivia's Market,60647,45.5,Delis,20,4.45
Smoke Daddy,60622,20.5,Barbeque,20,3.7
Lula Cafe,60647,20.5,American (New),20,4.45
Soulé,60622,20.5,Cajun/Creole,20,3.45
Lawn Restaurant - Hamburger,60622,0,Cheesesteaks,20,4.8
Serai,60647,20.5,Malaysian,20,4.35
Mama Delia,60622,0,Spanish,20,3.9
Parlor Pizza Bar - Wicker Park,60622,20.5,Pizza,20,3.7
Antique Taco,60622,20.5,Mexican,20,4.2
Tamale Guy Chicago,60622,10,Mexican,20,4.35
Mom's,60607,0,Japanese,8,4.75
Crazy Bird,60642,10,Chicken Wings,20,4.3
The Whale Chicago,60647,20.5,American (New),20,4.15
Bungalow by Middle Brow,60647,20.5,Pizza,20,3.65
Flat & Point,60647,0,American (New),20,4.55
Del Seoul,60614,10,Korean,20,4.5
Ipsento 606,60647,20.5,Sandwiches,20,3.85
Chef’s Special Cocktail Bar,60647,0,Chinese,20,4.15
Cracked on Milwaukee,60622,20.5,Breakfast &amp; Brunch,20,4.35
Kimchi Pop,60622,20.5,Korean,20,4.4
Kai Zan,60622,45.5,Asian Fusion,20,4.6
Rumi Middle Eastern Grill,60622,10,Mediterranean,20,4.45
The Publican,60607,45.5,American (New),20,3.85
Enoteca Roma Ristorante,60622,20.5,Italian,20,4.55
Portillo's Hot Dogs,60654,10,Hot Dogs,20,3.95
Bourbon On Division,60622,20.5,Southern,20,3.35
The Loyalist,60607,20.5,American (New),20,4.15
Wake ‘n Bacon,60657,0,Breakfast &amp; Brunch,20,4.4
Chicago Pizza And Oven Grinder Company,60614,20.5,Pizza,20,4.6
Bixi Beer,60647,20.5,Asian Fusion,20,4.55
"Table, Donkey and Stick",60647,20.5,Modern European,20,4.3
Duck Duck Goat,60607,45.5,Chinese,20,4.55
Goose Island Shrimp House Chicago,60642,10,Seafood,20,3.9
En Hakkore,60647,20.5,Korean,20,4.6
Aba,60607,45.5,Mediterranean,20,4.75
Sushi Taku,60622,20.5,Japanese,20,4.05
Kraken Sushi & Beyond,60618,0,Japanese,10,4.8
Flour Power,60622,0,Italian,14,4.642857142857143
The Boil Cajun Seafood,60622,0,Cajun/Creole,20,3.75
Irazú Costa Rican Restaurant & Catering,60647,20.5,Latin American,20,4.65
Kapitan,60614,0,Asian Fusion,20,4.3
Same Same,60618,20.5,Thai,20,4.4
Galit,60614,20.5,Mediterranean,20,4.8
Mable's Table,60622,20.5,American (New),20,4.15
Tatas Tacos,60657,0,Tacos,3,5.0
Honey Butter Fried Chicken,60618,20.5,Chicken Shop,20,3.85
Taxim,60622,45.5,Greek,20,3.9
Humboldt Haus Sandwich Bar,60647,10,Sandwiches,20,4.25
Nomonomo Japanese Pub & Grill,60647,0,Japanese,10,3.9
Summer House Santa Monica,60614,20.5,American (Traditional),20,4.6
La Malinche Coffee House,60608,0,Sandwiches,3,4.0
Wyler Road,60647,20.5,Sandwiches,20,4.15
The StopAlong,60647,20.5,Pizza,20,4.2
Shawarma Garden,60622,10,Middle Eastern,20,4.25
Piece Brewery and Pizzeria,60622,20.5,Pizza,20,3.95
Doc B's Restaurant + Bar,60611,20.5,American (New),20,4.45
Bar Siena,60607,20.5,Italian,20,4.15
Milly’s Pizza In The Pan,60647,0,Pizza,20,4.9
Cumin,60622,20.5,Indian,20,4.2
Cafe Ba-Ba-Reeba!,60614,20.5,Spanish,20,4.9
Xi'an Dynasty Cuisine,60614,20.5,Chinese,20,4.6
The Office,60607,61,American (Traditional),20,4.4
QBirria Factory,60661,0,Mexican,20,4.15
1492 Cuban Fusion,60647,20.5,Cuban,20,4.65
Porto,60622,0,Portuguese,20,3.55
Fatso's Last Stand,60622,20.5,Hot Dogs,20,4.25
Dos Urban Cantina,60647,20.5,Mexican,20,4.45
Cebu,60647,20.5,Filipino,20,4.25
Pizzeria Bebu,60642,20.5,Pizza,20,4.55
Boqueria - Fulton Market,60607,45.5,Spanish,20,4.65
Chengdu Aroma,60657,20.5,Szechuan,20,4.9
Vajra,60642,45.5,Himalayan/Nepalese,20,4.8
RAMEN-SAN,60654,20.5,Ramen,20,3.6
Sabroso! Mexican Grill,60622,20.5,Mexican,20,4.85
Mi Tocaya Antojeria,60647,20.5,Mexican,20,3.7
Tricycle Chicago,60647,20.5,American (New),20,3.65
Green Street Smoked Meats,60607,20.5,Barbeque,20,4.45
Pizza Friendly Pizza,60622,0,Pizza,20,4.65
Haidilao Hot Pot,60616,0,Chinese,5,5.0
Sfera Sicilian Street Food,60617,0,Sicilian,7,5.0
Spinning J Bakery and Soda Fountain,60622,20.5,Breakfast &amp; Brunch,20,4.6
The Moonlighter,60647,20.5,Burgers,20,3.9
Namaste Chicago,60647,20.5,Indian,20,4.55
Sushi + Rotary Sushi Bar Bucktown,60622,0,Conveyor Belt Sushi,5,5.0
Ina Mae Tavern & Packaged Goods,60622,20.5,Southern,20,3.4
Knead Great Pizza,60647,20.5,Pizza,20,4.65
Daebak Lincoln Park,60642,0,Korean,6,4.666666666666667
Mogadishu Restaurant,60610,10,African,20,4.55
Cela's Boricua Style Hot Dog,60622,0,Hot Dogs,1,5.0
Sapori Trattoria,60614,20.5,Italian,20,4.55
Boka,60614,45.5,American (New),20,4.6
XOchimilco Mexican Restaurant,60618,20.5,Mexican,20,4.95
Flo,60642,20.5,Breakfast &amp; Brunch,20,4.55
The Dawson,60654,20.5,American (Traditional),20,3.8
Big League Burgers,60618,0,Burgers,17,4.411764705882353
ArePA George,60651,20.5,Colombian,20,4.1
Avec - Chicago,60661,45.5,Mediterranean,20,4.3
Mini Mott,60647,20.5,Burgers,20,3.95
Lil' Ba-Ba-Reeba,60654,0,Seafood,6,4.5
KINTON RAMEN,60622,20.5,Ramen,20,4.25
La Sandwichera,60622,0,Sandwiches,1,5.0
Tejanos,60622,0,Tex-Mex,13,4.3076923076923075
Caribella,60647,20.5,Breakfast &amp; Brunch,20,4.7
Paulie Gee's Logan Square,60647,20.5,Pizza,20,4.15
Papa's Cache Sabroso,60622,20.5,Latin American,20,4.7
El Habanero,60647,20.5,Mexican,20,4.3
The Dandy Crown,60642,0,American (New),16,4.375
Hash,60622,20.5,Breakfast &amp; Brunch,20,4.6
MAK Restaurant,60622,20.5,Asian Fusion,20,3.85
Gaijin,60607,20.5,Japanese,20,4.45
Monteverde,60607,45.5,Italian,20,4.7
Aloha Eats,60614,20.5,Hawaiian,20,4.45
Crab Cellar,60614,61,Seafood,20,4.7
Arbella,60654,20.5,Tapas/Small Plates,20,4.75
The Crab Pad,60647,20.5,Seafood,20,3.7
Chicago Fajitas,60622,0,Mexican,1,5.0
Osteria Langhe,60647,45.5,Italian,20,4.95
Mr Dumpling,60614,0,Chinese,20,4.0
Menya Goku By Ramen Wasabi,60618,20.5,Ramen,20,4.55
Bill Kim Asian Comfort Food,60607,0,Korean,6,4.333333333333333
Craft Pizza,60622,20.5,Pizza,20,4.5
Bulerias Tapas Bar,60647,0,Tapas Bars,20,4.2
Velvet Taco Gold Coast,60610,20.5,American (New),20,4.45
